ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
623,Fonsi Dadee Yankee Despacito,Luis,ES,General,,https://genius.com/search?q=LUIS%20FONSI%20DADEE%20YANKEE%20DESPACITO,LUIS FONSI DADEE YANKEE DESPACITO
624,La Bikina,Luis Miguel,ES,General,,https://genius.com/search?q=LUIS%20MIGUEL%20LA%20BIKINA,LUIS MIGUEL LA BIKINA
625,La Incondicional,Luis Miguel,ES,General,,https://genius.com/search?q=LUIS%20MIGUEL%20LA%20INCONDICIONAL,LUIS MIGUEL LA INCONDICIONAL
626,O Tu O Ninguna,Luis Miguel,ES,General,,https://genius.com/search?q=LUIS%20MIGUEL%20O%20TU%20O%20NINGUNA,LUIS MIGUEL O TU O NINGUNA
627,Si Nos Dejan,Luis Miguel,ES,General,,https://genius.com/search?q=LUIS%20MIGUEL%20SI%20NOS%20DEJAN,LUIS MIGUEL SI NOS DEJAN
628,Somos Novios,Luis Miguel,ES,General,,https://genius.com/search?q=LUIS%20MIGUEL%20SOMOS%20NOVIOS,LUIS MIGUEL SOMOS NOVIOS
629,Piensa En Mi,Luz Casal,ES,General,,https://genius.com/search?q=LUZ%20CASAL%20PIENSA%20EN%20MI,LUZ CASAL PIENSA EN MI
630,Rufino,Luz Casal,ES,General,,https://genius.com/search?q=LUZ%20CASAL%20RUFINO,LUZ CASAL RUFINO
631,Y No Me Importa Nada,Luz Casal,ES,General,,https://genius.com/search?q=LUZ%20CASAL%20Y%20NO%20ME%20IMPORTA%20NADA,LUZ CASAL Y NO ME IMPORTA NADA
632,M Clan Llamando A La Tierra,,ES,General,,https://genius.com/search?q=M%20CLAN%20LLAMANDO%20A%20LA%20TIERRA,M CLAN LLAMANDO A LA TIERRA
633,M Clan Quedate A Dormir,,ES,General,,https://genius.com/search?q=M%20CLAN%20QUEDATE%20A%20DORMIR,M CLAN QUEDATE A DORMIR
634,M-Clan Carolina,,ES,General,,https://genius.com/search?q=M-CLAN%20CAROLINA,M-CLAN CAROLINA
635,Macaco Con La Mano Levanta,,ES,General,,https://genius.com/search?q=MACACO%20CON%20LA%20MANO%20LEVANTA,MACACO CON LA MANO LEVANTA
636,Macaco Moving,,ES,General,,https://genius.com/search?q=MACACO%20MOVING,MACACO MOVING
